Pillar,Question,Best Practice
Reliability,How do you plan your network topology?,Use highly available network connectivity for your workload public endpoints
Reliability,How do you plan your network topology?,Provision redundant connectivity between private networks in the cloud and on-premises environments
Reliability,How do you plan your network topology?,Ensure IP subnet allocation accounts for expansion and availability
Reliability,How do you plan your network topology?,Prefer hub-and-spoke topologies over many-to-many mesh
Reliability,How do you plan your network topology?,Enforce non-overlapping private IP address ranges in all private address spaces where they are connected
Reliability,How do you design your workload service architecture?,Choose how to segment your workload
Reliability,How do you design your workload service architecture?,Build services focused on specific business domains and functionality
Reliability,How do you design your workload service architecture?,Provide service contracts per API
Reliability,How do you design interactions in a distributed system to prevent failures?,Identify the kind of distributed systems you depend on
Reliability,How do you design interactions in a distributed system to prevent failures?,Implement loosely coupled dependencies
Reliability,How do you design interactions in a distributed system to prevent failures?,Make all responses idempotent
Reliability,How do you design interactions in a distributed system to prevent failures?,Do constant work
Reliability,How do you design interactions in a distributed system to mitigate or withstand failures?,Implement graceful degradation to transform applicable hard dependencies into soft dependencies
Reliability,How do you design interactions in a distributed system to mitigate or withstand failures?,Throttle requests
Reliability,How do you design interactions in a distributed system to mitigate or withstand failures?,Control and limit retry calls
Reliability,How do you design interactions in a distributed system to mitigate or withstand failures?,Fail fast and limit queues
Reliability,How do you design interactions in a distributed system to mitigate or withstand failures?,Set client timeouts
Reliability,How do you design interactions in a distributed system to mitigate or withstand failures?,Make systems stateless where possible
Reliability,How do you design interactions in a distributed system to mitigate or withstand failures?,Implement emergency levers
Reliability,How do you monitor workload resources?,Monitor all components for the workload (Generation)
Reliability,How do you monitor workload resources?,Define and calculate metrics (Aggregation)
Reliability,How do you monitor workload resources?,Send notifications (Real-time processing and alarming)
Reliability,How do you monitor workload resources?,Automate responses (Real-time processing and alarming)
Reliability,How do you monitor workload resources?,Analyze logs
Reliability,How do you monitor workload resources?,Conduct reviews regularly
Reliability,How do you monitor workload resources?,Monitor end-to-end tracing of requests through your system
Reliability,How do you design your workload to adapt to changes in demand?,Use automation when obtaining or scaling resources
Reliability,How do you design your workload to adapt to changes in demand?,Obtain resources upon detection of impairment to a workload
Reliability,How do you design your workload to adapt to changes in demand?,Obtain resources upon detection that more resources are needed for a workload
Reliability,How do you design your workload to adapt to changes in demand?,Load test your workload
Reliability,How do you implement change?,Use runbooks for standard activities such as deployment
Reliability,How do you implement change?,Integrate functional testing as part of your deployment
Reliability,How do you implement change?,Integrate resiliency testing as part of your deployment
Reliability,How do you implement change?,Deploy using immutable infrastructure
Reliability,How do you implement change?,Deploy changes with automation
Reliability,How do you back up data?,"Identify and back up all data that needs to be backed up, or reproduce the data from sources"
Reliability,How do you back up data?,Secure and encrypt backups
Reliability,How do you back up data?,Perform data backup automatically
Reliability,How do you back up data?,Perform periodic recovery of the data to verify backup integrity and processes
Reliability,How do you use fault isolation to protect your workload?,Deploy the workload to multiple locations
Reliability,How do you use fault isolation to protect your workload?,Select the appropriate locations for your multi-location deployment
Reliability,How do you use fault isolation to protect your workload?,Use bulkhead architectures to limit scope of impact
Reliability,How do you use fault isolation to protect your workload?,Automate recovery for components constrained to a single location
Reliability,How do you design your workload to withstand component failures?,Monitor all components of the workload to detect failures
Reliability,How do you design your workload to withstand component failures?,Fail over to healthy resources
Reliability,How do you design your workload to withstand component failures?,Automate healing on all layers
Reliability,How do you design your workload to withstand component failures?,Rely on the data plane and not the control plane during recovery
Reliability,How do you design your workload to withstand component failures?,Use static stability to prevent bimodal behavior
Reliability,How do you design your workload to withstand component failures?,Send notifications when events impact availability
Reliability,How do you design your workload to withstand component failures?,Architect your product to meet availability targets and uptime service level agreements (SLAs)
Reliability,How do you test reliability?,Use playbooks to investigate failures
Reliability,How do you test reliability?,Perform post-incident analysis
Reliability,How do you test reliability?,Test functional requirements
Reliability,How do you test reliability?,Test scaling and performance requirements
Reliability,How do you test reliability?,Test resiliency using chaos engineering
Reliability,How do you test reliability?,Conduct game days regularly
Reliability,How do you plan for disaster recovery (DR)?,Define recovery objectives for downtime and data loss
Reliability,How do you plan for disaster recovery (DR)?,Use defined recovery strategies to meet the recovery objectives
Reliability,How do you plan for disaster recovery (DR)?,Test disaster recovery implementation to validate the implementation
Reliability,How do you plan for disaster recovery (DR)?,Manage configuration drift at the DR site or Region
Reliability,How do you plan for disaster recovery (DR)?,Automate recovery
Security,How do you securely operate your workload?,Separate workloads using accounts
Security,How do you securely operate your workload?,Secure account root user and properties
Security,How do you securely operate your workload?,Identify and validate control objectives
Security,How do you securely operate your workload?,Stay up to date with security threats and recommendations
Security,How do you securely operate your workload?,Identify and prioritize risks using a threat model
Security,How do you securely operate your workload?,Reduce security management scope
Security,How do you securely operate your workload?,Automate deployment of standard security controls
Security,How do you securely operate your workload?,Evaluate and implement new security services and features regularly
Security,How do you manage identities for people and machines?,Use strong sign-in mechanisms
Security,How do you manage identities for people and machines?,Use temporary credentials
Security,How do you manage identities for people and machines?,Store and use secrets securely
Security,How do you manage identities for people and machines?,Rely on a centralized identity provider
Security,How do you manage identities for people and machines?,Audit and rotate credentials periodically
Security,How do you manage identities for people and machines?,Employ user groups and attributes
Security,How do you manage permissions for people and machines?,Define access requirements
Security,How do you manage permissions for people and machines?,Grant least privilege access
Security,How do you manage permissions for people and machines?,Define permission guardrails for your organization
Security,How do you manage permissions for people and machines?,Manage access based on lifecycle
Security,How do you manage permissions for people and machines?,Establish emergency access process
Security,How do you manage permissions for people and machines?,Share resources securely within your organization
Security,How do you manage permissions for people and machines?,Reduce permissions continuously
Security,How do you manage permissions for people and machines?,Share resources securely with a third party
Security,How do you manage permissions for people and machines?,Analyze public and cross account access
Security,How do you detect and investigate security events?,Configure service and application logging
Security,How do you detect and investigate security events?,"Capture logs, findings, and metrics in standardized locations"
Security,How do you detect and investigate security events?,Initiate remediation for non-compliant resources
Security,How do you detect and investigate security events?,Correlate and enrich security events
Security,How do you protect your network resources?,Create network layers
Security,How do you protect your network resources?,Control traffic within your network layers
Security,How do you protect your network resources?,Implement inspection-based protection
Security,How do you protect your network resources?,Automate network protection
Security,How do you protect your compute resources?,Perform vulnerability management
Security,How do you protect your compute resources?,Provision compute from hardened images
Security,How do you protect your compute resources?,Validate software integrity
Security,How do you protect your compute resources?,Reduce manual management and interactive access
Security,How do you protect your compute resources?,Automate compute protection
Security,How do you classify your data?,Understand your data classification scheme
Security,How do you classify your data?,Apply data protection controls based on data sensitivity
Security,How do you classify your data?,Define scalable data lifecycle management
Security,How do you classify your data?,Automate identification and classification
Security,How do you protect your data at rest?,Implement secure key management
Security,How do you protect your data at rest?,Enforce encryption at rest
Security,How do you protect your data at rest?,Automate data at rest protection
Security,How do you protect your data at rest?,Enforce access control
Security,How do you protect your data in transit?,Implement secure key and certificate management
Security,How do you protect your data in transit?,Enforce encryption in transit
Security,How do you protect your data in transit?,Authenticate network communications
Security,"How do you anticipate, respond to, and recover from incidents?",Identify key personnel and external resources
Security,"How do you anticipate, respond to, and recover from incidents?",Develop incident management plans
Security,"How do you anticipate, respond to, and recover from incidents?",Prepare forensic capabilities
Security,"How do you anticipate, respond to, and recover from incidents?",Develop and test security incident response playbooks
Security,"How do you anticipate, respond to, and recover from incidents?",Pre-provision access
Security,"How do you anticipate, respond to, and recover from incidents?",Run simulations
Security,"How do you anticipate, respond to, and recover from incidents?",Establish a framework for learning from incidents
Security,"How do you anticipate, respond to, and recover from incidents?",Pre-deploy tools
Security,"How do you incorporate and validate the security properties of applications throughout the design, development, and deployment lifecycle?",Perform regular penetration testing
Security,"How do you incorporate and validate the security properties of applications throughout the design, development, and deployment lifecycle?",Deploy software programmatically
Security,"How do you incorporate and validate the security properties of applications throughout the design, development, and deployment lifecycle?",Regularly assess security properties of the pipelines
Security,"How do you incorporate and validate the security properties of applications throughout the design, development, and deployment lifecycle?",Train for application security
Security,"How do you incorporate and validate the security properties of applications throughout the design, development, and deployment lifecycle?",Automate testing throughout the development and release lifecycle
Security,"How do you incorporate and validate the security properties of applications throughout the design, development, and deployment lifecycle?",Manual code reviews
Security,"How do you incorporate and validate the security properties of applications throughout the design, development, and deployment lifecycle?",Centralize services for packages and dependencies
Security,"How do you incorporate and validate the security properties of applications throughout the design, development, and deployment lifecycle?",Build a program that embeds security ownership in workload teams
Sustainability,How do you select Regions for your workload?,Choose Region based on both business requirements and sustainability goals
Sustainability,How do you align cloud resources to your demand?,Scale workload infrastructure dynamically
Sustainability,How do you align cloud resources to your demand?,Align SLAs with sustainability goals
Sustainability,How do you align cloud resources to your demand?,Optimize geographic placement of workloads based on their networking requirements
Sustainability,How do you align cloud resources to your demand?,Stop the creation and maintenance of unused assets
Sustainability,How do you align cloud resources to your demand?,Optimize team member resources for activities performed
Sustainability,How do you align cloud resources to your demand?,Implement buffering or throttling to flatten the demand curve
Sustainability,How do you take advantage of software and architecture patterns to support your sustainability goals?,Optimize software and architecture for asynchronous and scheduled jobs
Sustainability,How do you take advantage of software and architecture patterns to support your sustainability goals?,Remove or refactor workload components with low or no use
Sustainability,How do you take advantage of software and architecture patterns to support your sustainability goals?,Optimize areas of code that consume the most time or resources
Sustainability,How do you take advantage of software and architecture patterns to support your sustainability goals?,Optimize impact on devices and equipment
Sustainability,How do you take advantage of software and architecture patterns to support your sustainability goals?,Use software patterns and architectures that best support data access and storage patterns
Sustainability,How do you take advantage of data management policies and patterns to support your sustainability goals?,Implement a data classification policy
Sustainability,How do you take advantage of data management policies and patterns to support your sustainability goals?,Use technologies that support data access and storage patterns
Sustainability,How do you take advantage of data management policies and patterns to support your sustainability goals?,Use policies to manage the lifecycle of your datasets
Sustainability,How do you take advantage of data management policies and patterns to support your sustainability goals?,Remove unneeded or redundant data
Sustainability,How do you take advantage of data management policies and patterns to support your sustainability goals?,Use shared file systems or storage to access common data
Sustainability,How do you take advantage of data management policies and patterns to support your sustainability goals?,Back up data only when difficult to recreate
Sustainability,How do you take advantage of data management policies and patterns to support your sustainability goals?,Use elasticity and automation to expand block storage or file system
Sustainability,How do you take advantage of data management policies and patterns to support your sustainability goals?,Minimize data movement across networks
Sustainability,How do you select and use cloud hardware and services in your architecture to support your sustainability goals?,Use the minimum amount of hardware to meet your needs
Sustainability,How do you select and use cloud hardware and services in your architecture to support your sustainability goals?,Use instance types with the least impact
Sustainability,How do you select and use cloud hardware and services in your architecture to support your sustainability goals?,Use managed services
Sustainability,How do you select and use cloud hardware and services in your architecture to support your sustainability goals?,Optimize your use of hardware-based compute accelerators
Sustainability,How do your organizational processes support your sustainability goals?,Adopt methods that can rapidly introduce sustainability improvements
Sustainability,How do your organizational processes support your sustainability goals?,Keep your workload up-to-date
Sustainability,How do your organizational processes support your sustainability goals?,Increase utilization of build environments
Sustainability,How do your organizational processes support your sustainability goals?,Use managed device farms for testing
